 1u,C1, C0805
 1u,C10, C0805
 10u 25V,C2, C0805
 1u,C3, C0805
 1u,C4, C0805
 1u,C5, C0805
 10u 25V,C6, C0805
 10u 25V,C7, C0805
 10u 25V,C8, C0805
 10u 25V,C9, C0805
 ,JABSON, SJ
 ,JDASH, SJ
 ,JECU, SJ
 ,JMISC, SJ
 ,JTELE, SJ
 IPB120P04P4L03ATMA1,Q1, PG-TO263-3-2_1
 IPB120P04P4L03ATMA1,Q12, PG-TO263-3-2_1
 IPB120P04P4L03ATMA1,Q2, PG-TO263-3-2_1
 IPB120P04P4L03ATMA1,Q3, PG-TO263-3-2_1
 BUK9K29-100E,Q4, SOIC127P605X105-8N
 NSVT489AMT1G,Q5, SOT95P275X110-6N
 BUK9K29-100E,Q6, SOIC127P605X105-8N
 BUK9K29-100E,Q7, SOIC127P605X105-8N
 IPB120P04P4L03ATMA1,Q8, PG-TO263-3-2_1
 1k,R1, R0805
 1k,R2, R0805
 1k,R3, R0805
 1k,R4, R0805
 20k,R5, R0805
 1k,R6, R0805
 S10AL-TP,U$4, DIOM7959X265N
 S10AL-TP,U$5, DIOM7959X265N
 S10AL-TP,U$6, DIOM7959X265N
 LM74700QDBVTQ1DBV6-M,U1, DBV6-M
 LM74700QDBVTQ1DBV6-M,U2, DBV6-M
 LM74700QDBVTQ1DBV6-M,U3, DBV6-M
 LM74700QDBVTQ1DBV6-M,U4, DBV6-M
 LM74700QDBVTQ1DBV6-M,U5, DBV6-M
